n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
4,256,0.0005,256,0.7952674897119342,0.20473251028806583,7.563302755355835,1.6297390382040496e-05
4,256,0.001,32,0.8065843621399177,0.1934156378600823,15.578090190887451,4.958603041929526e-05
6,512,0.01,32,0.7932098765432098,0.20679012345679015,223.87910389900208,0.00034537329514796857
1,128,0.05,256,0.7818930041152263,0.21810699588477367,0.20799756050109863,3.0038592202217677e-06
6,512,0.0001,128,0.8137860082304527,0.18621399176954734,68.1703052520752,0.0001036246234253263
2,32,0.0001,32,0.7849794238683128,0.21502057613168724,0.6308085918426514,3.595550499629427e-06
6,64,0.0005,32,0.7983539094650206,0.2016460905349794,2.317335605621338,6.145495400602879e-06
1,64,0.0001,64,0.7664609053497943,0.23353909465020573,0.3067359924316406,3.113185786845281e-06
4,128,0.001,256,0.7932098765432098,0.20679012345679015,2.300238609313965,6.240667347315534e-06
4,64,0.01,128,0.7932098765432098,0.20679012345679015,0.9356911182403564,4.101315010143246e-06
1,64,0.05,256,0.7777777777777778,0.2222222222222222,0.14783239364624023,2.8949197605441616e-06
2,128,0.0001,64,0.7839506172839507,0.21604938271604934,1.61918044090271,5.1609645669830866e-06
6,256,0.0001,128,0.8034979423868313,0.19650205761316875,19.70097780227661,3.3929176167473696e-05
2,32,0.01,64,0.7839506172839507,0.21604938271604934,0.3801748752593994,2.542492644854106e-06
2,32,0.0005,64,0.7849794238683128,0.21502057613168724,0.38611888885498047,3.3117571442041643e-06
3,128,0.0001,64,0.7818930041152263,0.21810699588477367,2.7518208026885986,6.858207793665036e-06
6,512,0.001,128,0.801440329218107,0.19855967078189296,61.25425338745117,9.79706655865586e-05
2,128,0.05,256,0.7818930041152263,0.21810699588477367,1.3030109405517578,4.875129835342066e-06
1,512,0.01,64,0.779835390946502,0.220164609053498,0.76686692237854,3.1746901765036646e-06
5,256,0.005,256,0.7870370370370371,0.2129629629629629,9.434158563613892,1.8928414701637206e-05
1,64,0.005,256,0.7849794238683128,0.21502057613168724,0.15665578842163086,2.9413112722914775e-06
4,32,0.0005,256,0.7808641975308642,0.21913580246913578,0.33009958267211914,3.164446734320254e-06
3,128,0.001,32,0.7952674897119342,0.20473251028806583,4.045523643493652,9.047376838896972e-06
6,32,0.05,128,0.7695473251028807,0.2304526748971193,0.5248129367828369,3.42970921601441e-06
4,512,0.0005,32,0.7952674897119342,0.20473251028806583,139.39175844192505,0.00020765089340822517
2,32,0.005,64,0.7849794238683128,0.21502057613168724,0.378645658493042,3.236617325473913e-06
2,128,0.005,64,0.7983539094650206,0.2016460905349794,1.5314390659332275,5.100735525448294e-06
1,64,0.0005,256,0.779835390946502,0.220164609053498,0.15764570236206055,2.937380652818908e-06
1,32,0.01,256,0.7860082304526749,0.21399176954732513,0.12807130813598633,2.9616572346269056e-06
6,256,0.01,32,0.7870370370370371,0.2129629629629629,24.100712060928345,3.991617648399003e-05
4,32,0.0005,32,0.7932098765432098,0.20679012345679015,1.0036499500274658,4.193423667695119e-06
1,256,0.05,256,0.7767489711934157,0.22325102880658432,0.37351155281066895,3.237106048174842e-06
1,256,0.005,256,0.7942386831275721,0.20576131687242794,0.47911930084228516,3.3678782935755507e-06
3,32,0.05,64,0.7962962962962963,0.20370370370370372,0.4600245952606201,3.3306119610431805e-06
3,64,0.005,32,0.7962962962962963,0.20370370370370372,1.1727566719055176,4.622419480883368e-06
6,64,0.001,128,0.8045267489711934,0.19547325102880664,1.4595279693603516,4.988472004743461e-06
1,512,0.005,128,0.7993827160493827,0.2006172839506173,0.9074196815490723,4.017505072687772e-06
2,256,0.0005,64,0.8189300411522634,0.18106995884773658,6.835965633392334,1.3941760072722017e-05
1,64,0.05,64,0.7674897119341564,0.23251028806584362,0.26789283752441406,3.087854890472311e-06
4,512,0.0001,256,0.8106995884773662,0.18930041152263377,21.114944219589233,3.570762635280561e-05
1,512,0.005,256,0.7973251028806584,0.2026748971193416,1.0958566665649414,3.4869316684763143e-06
1,128,0.05,64,0.7788065843621399,0.2211934156378601,0.31058382987976074,3.1213427401619727e-06
6,512,0.005,128,0.7849794238683128,0.21502057613168724,57.44147515296936,9.038314965523457e-05
3,64,0.005,64,0.7993827160493827,0.2006172839506173,0.7702376842498779,3.7621345399434985e-06
2,512,0.0001,64,0.7993827160493827,0.2006172839506173,23.34027409553528,3.9733949433636535e-05
5,32,0.001,128,0.7932098765432098,0.20679012345679015,0.5041091442108154,3.3832201247340402e-06
6,256,0.005,32,0.8168724279835391,0.1831275720164609,24.626429080963135,4.0377941649033924e-05
6,128,0.0001,128,0.7952674897119342,0.20473251028806583,4.721003532409668,1.0038841555724734e-05
2,512,0.01,64,0.7952674897119342,0.20473251028806583,22.702653884887695,3.7660285561954456e-05
4,128,0.05,256,0.7921810699588477,0.20781893004115226,1.9602596759796143,5.7525019482512235e-06
4,32,0.005,256,0.7973251028806584,0.2026748971193416,0.3109123706817627,3.15008147493847e-06
4,256,0.001,64,0.808641975308642,0.191358024691358,13.77320647239685,2.5788620139357147e-05
