n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,32,0.05,128,0.7808641975308642,0.21913580246913578,0.2046186923980713,1.8125119125136541e-06
5,256,0.005,128,0.8076131687242798,0.1923868312757202,20.935927629470825,3.938281081256823e-05
4,32,0.005,64,0.7973251028806584,0.2026748971193416,0.8798239231109619,2.9388003759971246e-06
2,128,0.01,64,0.7952674897119342,0.20473251028806583,2.160566806793213,5.021553518215252e-06
5,32,0.0001,64,0.7736625514403292,0.22633744855967075,1.1103732585906982,3.314566703994274e-06
1,256,0.001,256,0.7849794238683128,0.21502057613168724,0.7093443870544434,2.6362454907017993e-06
3,256,0.0005,128,0.7993827160493827,0.2006172839506173,11.939767122268677,2.2215394503676847e-05
3,32,0.01,64,0.7818930041152263,0.21810699588477367,0.7118399143218994,2.6405609032212e-06
1,512,0.001,128,0.7921810699588477,0.20781893004115226,1.3827190399169922,3.7448956738143364e-06
4,512,0.01,64,0.7788065843621399,0.2211934156378601,93.4569571018219,0.00015328728879242243
3,64,0.01,128,0.7993827160493827,0.2006172839506173,1.04323410987854,3.1887993103059586e-06
1,256,0.005,128,0.8065843621399177,0.1934156378600823,0.6710736751556396,2.5780779909199933e-06
5,256,0.005,256,0.7870370370370371,0.2129629629629629,13.519133567810059,2.6541153404987222e-05
1,32,0.0005,256,0.7551440329218106,0.24485596707818935,0.1428523063659668,1.730963401390647e-06
3,512,0.0001,16,0.808641975308642,0.191358024691358,252.67514944076538,0.00040893320019270984
1,32,0.0001,128,0.6954732510288066,0.30452674897119336,0.23757219314575195,1.8924099906308277e-06
1,64,0.0001,256,0.7088477366255144,0.29115226337448563,0.20645523071289062,1.8153632624929562e-06
4,256,0.0005,256,0.7952674897119342,0.20473251028806583,10.223166704177856,2.02704408872059e-05
3,128,0.001,32,0.7952674897119342,0.20473251028806583,5.493816614151001,1.0479008817184185e-05
1,512,0.01,128,0.7973251028806584,0.2026748971193416,1.190603256225586,3.424085679039415e-06
4,128,0.01,256,0.7993827160493827,0.2006172839506173,6.349152565002441,1.2707005349457441e-05
1,32,0.001,16,0.7860082304526749,0.21399176954732513,1.0082345008850098,3.1179050252426853e-06
6,512,0.01,128,0.7952674897119342,0.20473251028806583,91.547447681427,0.00014945501324753826
1,256,0.005,256,0.7942386831275721,0.20576131687242794,0.6894595623016357,2.6019758171739146e-06
4,32,0.001,256,0.7870370370370371,0.2129629629629629,0.44754815101623535,2.1923722147782926e-06
3,32,0.0001,16,0.7705761316872428,0.22942386831275718,2.0401535034179688,4.785513884653001e-06
3,512,0.0001,64,0.808641975308642,0.191358024691358,64.16981315612793,0.0001054643313983593
2,32,0.0005,64,0.7849794238683128,0.21502057613168724,0.5454919338226318,2.384499394840478e-06
2,32,0.0005,32,0.7880658436213992,0.2119341563786008,0.8814315795898438,2.8880753752812247e-06
3,32,0.01,256,0.7901234567901234,0.2098765432098766,0.383636474609375,2.1107262574706384e-06
5,512,0.0001,128,0.7942386831275721,0.20576131687242794,79.4699935913086,0.0001298494218818717
3,32,0.0001,128,0.7613168724279835,0.23868312757201648,0.4588203430175781,2.2361606855030134e-06
1,128,0.001,256,0.7870370370370371,0.2129629629629629,0.3288111686706543,2.0075604558638655e-06
1,32,0.0001,256,0.668724279835391,0.33127572016460904,0.15864229202270508,1.7513301192412783e-06
5,32,0.005,128,0.8117283950617284,0.18827160493827155,0.6968636512756348,2.6124098669334762e-06
